Date,NO,SE
2015-02-26,38639.0,13062.0
2015-02-27,38639.0,13062.0
2015-02-28,38639.0,13062.0
2015-03-01,38639.0,13062.0
2015-03-02,36967.0,12118.0
2015-03-03,36967.0,12118.0
2015-03-04,36967.0,12118.0
2015-03-05,36967.0,12118.0
2015-03-06,36967.0,12118.0
2015-03-07,36967.0,12118.0
2015-03-08,36967.0,12118.0
2015-03-09,35389.0,11178.0
2015-03-10,35389.0,11178.0
2015-03-11,35389.0,11178.0
2015-03-12,35389.0,11178.0
2015-03-13,35389.0,11178.0
2015-03-14,35389.0,11178.0
2015-03-15,35389.0,11178.0
2015-03-16,33219.0,10133.0
2015-03-17,33219.0,10133.0
2015-03-18,33219.0,10133.0
2015-03-19,33219.0,10133.0
2015-03-20,33219.0,10133.0
2015-03-21,33219.0,10133.0
2015-03-22,33219.0,10133.0
2015-03-23,31043.0,9256.0
2015-03-24,31043.0,9256.0
2015-03-25,31043.0,9256.0
2015-03-26,31043.0,9256.0
2015-03-27,31043.0,9256.0
2015-03-28,31043.0,9256.0
2015-03-29,31043.0,9256.0
2015-03-30,29108.0,8432.0
2015-03-31,29108.0,8432.0
2015-04-01,29108.0,8432.0
2015-04-02,29108.0,8432.0
2015-04-03,29108.0,8432.0
2015-04-04,29108.0,8432.0
2015-04-05,29108.0,8432.0
2015-04-06,27718.0,7944.0
2015-04-07,27718.0,7944.0
2015-04-08,27718.0,7944.0
2015-04-09,27718.0,7944.0
2015-04-10,27718.0,7944.0
2015-04-11,27718.0,7944.0
2015-04-12,27718.0,7944.0
2015-04-13,26492.0,7650.0
2015-04-14,26492.0,7650.0
2015-04-15,26492.0,7650.0
2015-04-16,26492.0,7650.0
2015-04-17,26492.0,7650.0
2015-04-18,26492.0,7650.0
2015-04-19,26492.0,7650.0
2015-04-20,26026.0,7991.0
2015-04-21,26026.0,7991.0
2015-04-22,26026.0,7991.0
2015-04-23,26026.0,7991.0
2015-04-24,26026.0,7991.0
2015-04-25,26026.0,7991.0
2015-04-26,26026.0,7991.0
2015-04-27,24829.0,8165.0
2015-04-28,24829.0,8165.0
2015-04-29,24829.0,8165.0
2015-04-30,24829.0,8165.0
2015-05-01,24829.0,8165.0
2015-05-02,24829.0,8165.0
2015-05-03,24829.0,8165.0
2015-05-04,25457.0,9568.0
2015-05-05,25457.0,9568.0
2015-05-06,25457.0,9568.0
2015-05-07,25457.0,9568.0
2015-05-08,25457.0,9568.0
2015-05-09,25457.0,9568.0
2015-05-10,25457.0,9568.0
2015-05-11,27086.0,11564.0
2015-05-12,27086.0,11564.0
2015-05-13,27086.0,11564.0
2015-05-14,27086.0,11564.0
2015-05-15,27086.0,11564.0
2015-05-16,27086.0,11564.0
2015-05-17,27086.0,11564.0
2015-05-18,27913.0,13216.0
2015-05-19,27913.0,13216.0
2015-05-20,27913.0,13216.0
2015-05-21,27913.0,13216.0
2015-05-22,27913.0,13216.0
2015-05-23,27913.0,13216.0
2015-05-24,27913.0,13216.0
2015-05-25,29475.0,15687.0
2015-05-26,29475.0,15687.0
2015-05-27,29475.0,15687.0
2015-05-28,29475.0,15687.0
2015-05-29,29475.0,15687.0
2015-05-30,29475.0,15687.0
2015-05-31,29475.0,15687.0
2015-06-01,32335.0,18867.0
2015-06-02,32335.0,18867.0
2015-06-03,32335.0,18867.0
2015-06-04,32335.0,18867.0
2015-06-05,32335.0,18867.0
2015-06-06,32335.0,18867.0
2015-06-07,32335.0,18867.0
2015-06-08,35345.0,20434.0
2015-06-09,35345.0,20434.0
2015-06-10,35345.0,20434.0
2015-06-11,35345.0,20434.0
2015-06-12,35345.0,20434.0
2015-06-13,35345.0,20434.0
2015-06-14,35345.0,20434.0
2015-06-15,37853.0,21232.0
2015-06-16,37853.0,21232.0
2015-06-17,37853.0,21232.0
2015-06-18,37853.0,21232.0
2015-06-19,37853.0,21232.0
2015-06-20,37853.0,21232.0
2015-06-21,37853.0,21232.0
2015-06-22,41611.0,23010.0
2015-06-23,41611.0,23010.0
2015-06-24,41611.0,23010.0
2015-06-25,41611.0,23010.0
2015-06-26,41611.0,23010.0
2015-06-27,41611.0,23010.0
2015-06-28,41611.0,23010.0
2015-06-29,47242.0,24601.0
2015-06-30,47242.0,24601.0
2015-07-01,47242.0,24601.0
2015-07-02,47242.0,24601.0
2015-07-03,47242.0,24601.0
2015-07-04,47242.0,24601.0
2015-07-05,47242.0,24601.0
2015-07-06,54074.0,26647.0
2015-07-07,54074.0,26647.0
2015-07-08,54074.0,26647.0
2015-07-09,54074.0,26647.0
2015-07-10,54074.0,26647.0
2015-07-11,54074.0,26647.0
2015-07-12,54074.0,26647.0
2015-07-13,57693.0,27690.0
2015-07-14,57693.0,27690.0
2015-07-15,57693.0,27690.0
2015-07-16,57693.0,27690.0
2015-07-17,57693.0,27690.0
2015-07-18,57693.0,27690.0
2015-07-19,57693.0,27690.0
2015-07-20,60958.0,28659.0
2015-07-21,60958.0,28659.0
2015-07-22,60958.0,28659.0
2015-07-23,60958.0,28659.0
2015-07-24,60958.0,28659.0
2015-07-25,60958.0,28659.0
2015-07-26,60958.0,28659.0
2015-07-27,63654.0,30191.0
2015-07-28,63654.0,30191.0
2015-07-29,63654.0,30191.0
2015-07-30,63654.0,30191.0
2015-07-31,63654.0,30191.0
2015-08-01,63654.0,30191.0
2015-08-02,63654.0,30191.0
2015-08-03,66488.0,30449.0
2015-08-04,66488.0,30449.0
2015-08-05,66488.0,30449.0
2015-08-06,66488.0,30449.0
2015-08-07,66488.0,30449.0
2015-08-08,66488.0,30449.0
2015-08-09,66488.0,30449.0
2015-08-10,68749.0,30435.0
2015-08-11,68749.0,30435.0
2015-08-12,68749.0,30435.0
2015-08-13,68749.0,30435.0
2015-08-14,68749.0,30435.0
2015-08-15,68749.0,30435.0
2015-08-16,68749.0,30435.0
2015-08-17,70520.0,30033.0
2015-08-18,70520.0,30033.0
2015-08-19,70520.0,30033.0
2015-08-20,70520.0,30033.0
2015-08-21,70520.0,30033.0
2015-08-22,70520.0,30033.0
2015-08-23,70520.0,30033.0
2015-08-24,73339.0,30003.0
2015-08-25,73339.0,30003.0
2015-08-26,73339.0,30003.0
2015-08-27,73339.0,30003.0
2015-08-28,73339.0,30003.0
2015-08-29,73339.0,30003.0
2015-08-30,73339.0,30003.0
2015-08-31,74646.0,29785.0
2015-09-01,74646.0,29785.0
2015-09-02,74646.0,29785.0
2015-09-03,74646.0,29785.0
2015-09-04,74646.0,29785.0
2015-09-05,74646.0,29785.0
2015-09-06,74646.0,29785.0
2015-09-07,74047.0,29093.0
2015-09-08,74047.0,29093.0
2015-09-09,74047.0,29093.0
2015-09-10,74047.0,29093.0
2015-09-11,74047.0,29093.0
2015-09-12,74047.0,29093.0
2015-09-13,74047.0,29093.0
2015-09-14,75719.0,29515.0
2015-09-15,75719.0,29515.0
2015-09-16,75719.0,29515.0
2015-09-17,75719.0,29515.0
2015-09-18,75719.0,29515.0
2015-09-19,75719.0,29515.0
2015-09-20,75719.0,29515.0
2015-09-21,76036.0,30044.0
2015-09-22,76036.0,30044.0
2015-09-23,76036.0,30044.0
2015-09-24,76036.0,30044.0
2015-09-25,76036.0,30044.0
2015-09-26,76036.0,30044.0
2015-09-27,76036.0,30044.0
2015-09-28,76191.0,30694.0
2015-09-29,76191.0,30694.0
2015-09-30,76191.0,30694.0
2015-10-01,76191.0,30694.0
2015-10-02,76191.0,30694.0
2015-10-03,76191.0,30694.0
2015-10-04,76191.0,30694.0
2015-10-05,75205.0,30341.0
2015-10-06,75205.0,30341.0
2015-10-07,75205.0,30341.0
2015-10-08,75205.0,30341.0
2015-10-09,75205.0,30341.0
2015-10-10,75205.0,30341.0
2015-10-11,75205.0,30341.0
2015-10-12,73925.0,29741.0
2015-10-13,73925.0,29741.0
2015-10-14,73925.0,29741.0
2015-10-15,73925.0,29741.0
2015-10-16,73925.0,29741.0
2015-10-17,73925.0,29741.0
2015-10-18,73925.0,29741.0
2015-10-19,73489.0,29323.0
2015-10-20,73489.0,29323.0
2015-10-21,73489.0,29323.0
2015-10-22,73489.0,29323.0
2015-10-23,73489.0,29323.0
2015-10-24,73489.0,29323.0
2015-10-25,73489.0,29323.0
2015-10-26,72651.0,28725.0
2015-10-27,72651.0,28725.0
2015-10-28,72651.0,28725.0
2015-10-29,72651.0,28725.0
2015-10-30,72651.0,28725.0
2015-10-31,72651.0,28725.0
2015-11-01,72651.0,28725.0
2015-11-02,72148.0,28638.0
2015-11-03,72148.0,28638.0
2015-11-04,72148.0,28638.0
2015-11-05,72148.0,28638.0
2015-11-06,72148.0,28638.0
2015-11-07,72148.0,28638.0
2015-11-08,72148.0,28638.0
2015-11-09,72314.0,28218.0
2015-11-10,72314.0,28218.0
2015-11-11,72314.0,28218.0
2015-11-12,72314.0,28218.0
2015-11-13,72314.0,28218.0
2015-11-14,72314.0,28218.0
2015-11-15,72314.0,28218.0
2015-11-16,70592.0,27372.0
2015-11-17,70592.0,27372.0
2015-11-18,70592.0,27372.0
2015-11-19,70592.0,27372.0
2015-11-20,70592.0,27372.0
2015-11-21,70592.0,27372.0
2015-11-22,70592.0,27372.0
2015-11-23,69397.0,26620.0
2015-11-24,69397.0,26620.0
2015-11-25,69397.0,26620.0
2015-11-26,69397.0,26620.0
2015-11-27,69397.0,26620.0
2015-11-28,69397.0,26620.0
2015-11-29,69397.0,26620.0
2015-11-30,69670.0,26130.0
2015-12-01,69670.0,26130.0
2015-12-02,69670.0,26130.0
2015-12-03,69670.0,26130.0
2015-12-04,69670.0,26130.0
2015-12-05,69670.0,26130.0
2015-12-06,69670.0,26130.0
2015-12-07,69344.0,25381.0
2015-12-08,69344.0,25381.0
2015-12-09,69344.0,25381.0
2015-12-10,69344.0,25381.0
2015-12-11,69344.0,25381.0
2015-12-12,69344.0,25381.0
2015-12-13,69344.0,25381.0
2015-12-14,68811.0,24619.0
2015-12-15,68811.0,24619.0
2015-12-16,68811.0,24619.0
2015-12-17,68811.0,24619.0
2015-12-18,68811.0,24619.0
2015-12-19,68811.0,24619.0
2015-12-20,68811.0,24619.0
2015-12-21,69372.0,24625.0
2015-12-22,69372.0,24625.0
2015-12-23,69372.0,24625.0
2015-12-24,69372.0,24625.0
2015-12-25,69372.0,24625.0
2015-12-26,69372.0,24625.0
2015-12-27,69372.0,24625.0
2015-12-28,67816.0,23841.0
2015-12-29,67816.0,23841.0
2015-12-30,67816.0,23841.0
2015-12-31,67816.0,23841.0
2016-01-01,67816.0,23841.0
2016-01-02,67816.0,23841.0
2016-01-03,67816.0,23841.0
2016-01-04,61654.0,21203.0
2016-01-05,61654.0,21203.0
2016-01-06,61654.0,21203.0
2016-01-07,61654.0,21203.0
2016-01-08,61654.0,21203.0
2016-01-09,61654.0,21203.0
2016-01-10,61654.0,21203.0
2016-01-11,58235.0,19811.0
2016-01-12,58235.0,19811.0
2016-01-13,58235.0,19811.0
2016-01-14,58235.0,19811.0
2016-01-15,58235.0,19811.0
2016-01-16,58235.0,19811.0
2016-01-17,58235.0,19811.0
2016-01-18,56990.0,18956.0
2016-01-19,56990.0,18956.0
2016-01-20,56990.0,18956.0
2016-01-21,56990.0,18956.0
2016-01-22,56990.0,18956.0
2016-01-23,56990.0,18956.0
