Date,System Price
05-01-2017,39.11
06-01-2017,32.14
07-01-2017,30.3
08-01-2017,30.69
09-01-2017,30.9
10-01-2017,29.64
11-01-2017,27.72
12-01-2017,28.13
13-01-2017,32.78
14-01-2017,30.24
15-01-2017,30.47
16-01-2017,42.69
17-01-2017,32.76
18-01-2017,29.6
19-01-2017,28.73
20-01-2017,28.59
21-01-2017,28.43
22-01-2017,28.76
23-01-2017,29.37
24-01-2017,31.47
25-01-2017,29.56
26-01-2017,29.7
27-01-2017,30.35
28-01-2017,29.18
29-01-2017,28.44
30-01-2017,30.57
31-01-2017,31.99
01-02-2017,31.33
02-02-2017,31.43
03-02-2017,32.45
04-02-2017,31.61
05-02-2017,31.45
06-02-2017,33.37
07-02-2017,35.41
08-02-2017,39.05
09-02-2017,43.95
10-02-2017,36.94
11-02-2017,32.14
12-02-2017,31.37
13-02-2017,32.87
14-02-2017,33.36
15-02-2017,35.77
16-02-2017,31.5
17-02-2017,31.26
18-02-2017,30.22
19-02-2017,28.95
20-02-2017,29.78
21-02-2017,30.1
22-02-2017,29.18
23-02-2017,29.82
24-02-2017,30.68
25-02-2017,30.2
26-02-2017,29.13
27-02-2017,30.59
28-02-2017,29.87
01-03-2017,30.84
02-03-2017,30.8
03-03-2017,31.49
04-03-2017,30.34
05-03-2017,29.81
06-03-2017,32.99
07-03-2017,39.29
08-03-2017,33.11
09-03-2017,32.07
10-03-2017,31.37
11-03-2017,30.65
12-03-2017,28.75
13-03-2017,31.42
14-03-2017,29.5
15-03-2017,28.53
16-03-2017,29.95
17-03-2017,28.17
18-03-2017,28.21
19-03-2017,28.64
20-03-2017,30.42
21-03-2017,28.76
22-03-2017,29.78
23-03-2017,30.77
24-03-2017,30.61
25-03-2017,28.03
26-03-2017,27.45
27-03-2017,29.47
28-03-2017,31.17
29-03-2017,30.63
30-03-2017,30.15
31-03-2017,29.19
01-04-2017,27.16
02-04-2017,27.24
03-04-2017,30.73
04-04-2017,28.36
05-04-2017,27.24
06-04-2017,27.85
07-04-2017,27.92
08-04-2017,27.93
09-04-2017,26.12
10-04-2017,25.92
11-04-2017,25.6
12-04-2017,27.18
13-04-2017,27.23
14-04-2017,27.87
15-04-2017,27.8
16-04-2017,28.47
17-04-2017,28.44
18-04-2017,32.55
19-04-2017,33.49
20-04-2017,29.49
21-04-2017,26.99
22-04-2017,25.81
23-04-2017,27.4
24-04-2017,30.68
25-04-2017,34.45
26-04-2017,37.24
27-04-2017,35.82
28-04-2017,35.26
29-04-2017,30.41
30-04-2017,28.34
01-05-2017,27.19
02-05-2017,30.55
03-05-2017,30.52
04-05-2017,29.59
05-05-2017,30.17
06-05-2017,30.09
07-05-2017,28.31
08-05-2017,30.09
09-05-2017,34.75
10-05-2017,36.33
11-05-2017,33.7
12-05-2017,31.16
13-05-2017,30.0
14-05-2017,28.45
15-05-2017,31.86
16-05-2017,30.16
17-05-2017,27.85
18-05-2017,27.54
19-05-2017,28.0
20-05-2017,23.82
21-05-2017,18.94
22-05-2017,27.88
23-05-2017,26.89
24-05-2017,26.12
25-05-2017,24.91
26-05-2017,26.46
27-05-2017,25.22
28-05-2017,21.01
29-05-2017,28.27
30-05-2017,29.76
31-05-2017,26.73
01-06-2017,27.6
02-06-2017,28.73
03-06-2017,26.42
04-06-2017,24.63
05-06-2017,25.45
06-06-2017,22.56
07-06-2017,19.57
08-06-2017,24.15
09-06-2017,26.99
10-06-2017,24.8
11-06-2017,21.2
12-06-2017,23.08
13-06-2017,22.87
14-06-2017,27.29
15-06-2017,26.48
16-06-2017,24.02
17-06-2017,21.84
18-06-2017,23.73
19-06-2017,26.06
20-06-2017,25.49
21-06-2017,26.65
22-06-2017,27.56
23-06-2017,25.21
