Date,Hour,System Price
24-01-2014,3,30.84
24-01-2014,4,31.58
24-01-2014,5,33.14
24-01-2014,6,39.13
24-01-2014,7,58.32
24-01-2014,8,60.08
24-01-2014,9,60.01
24-01-2014,10,49.78
24-01-2014,11,47.01
24-01-2014,12,44.15
24-01-2014,13,43.06
24-01-2014,14,42.09
24-01-2014,15,43.3
24-01-2014,16,47.77
24-01-2014,17,53.87
24-01-2014,18,44.93
24-01-2014,19,37.95
24-01-2014,20,34.91
24-01-2014,21,33.99
24-01-2014,22,33.32
24-01-2014,23,32.62
25-01-2014,0,32.7
25-01-2014,1,32.13
25-01-2014,2,31.19
25-01-2014,3,30.81
25-01-2014,4,30.66
25-01-2014,5,30.8
25-01-2014,6,31.03
25-01-2014,7,31.74
25-01-2014,8,32.54
25-01-2014,9,33.29
25-01-2014,10,33.59
25-01-2014,11,33.53
25-01-2014,12,33.33
25-01-2014,13,33.14
25-01-2014,14,32.82
25-01-2014,15,32.99
25-01-2014,16,33.65
25-01-2014,17,34.77
25-01-2014,18,34.18
25-01-2014,19,33.47
25-01-2014,20,32.6
25-01-2014,21,32.06
25-01-2014,22,32.07
25-01-2014,23,31.39
26-01-2014,0,30.36
26-01-2014,1,29.58
26-01-2014,2,28.99
26-01-2014,3,29.14
26-01-2014,4,29.46
26-01-2014,5,30.29
26-01-2014,6,30.36
26-01-2014,7,30.59
26-01-2014,8,31.19
26-01-2014,9,32.01
26-01-2014,10,32.89
26-01-2014,11,33.08
26-01-2014,12,32.99
26-01-2014,13,32.11
26-01-2014,14,31.91
26-01-2014,15,32.15
26-01-2014,16,33.19
26-01-2014,17,34.24
26-01-2014,18,33.89
26-01-2014,19,33.21
26-01-2014,20,32.52
26-01-2014,21,31.91
26-01-2014,22,31.17
26-01-2014,23,30.26
27-01-2014,0,28.55
27-01-2014,1,28.27
27-01-2014,2,27.96
27-01-2014,3,28.14
27-01-2014,4,28.87
27-01-2014,5,30.45
27-01-2014,6,32.64
27-01-2014,7,35.23
27-01-2014,8,36.74
27-01-2014,9,35.64
27-01-2014,10,34.81
27-01-2014,11,34.3
27-01-2014,12,34.11
27-01-2014,13,34.23
27-01-2014,14,34.37
27-01-2014,15,34.63
27-01-2014,16,35.79
27-01-2014,17,38.08
27-01-2014,18,35.77
27-01-2014,19,34.27
27-01-2014,20,33.35
27-01-2014,21,33.15
27-01-2014,22,32.08
27-01-2014,23,30.94
28-01-2014,0,31.24
